# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  39.374  0.201   16.471   31.460   41.955  261.832   24.330   8.12  0.00  4   40.966   24.552   8.34 0.47  2.79954  16.4687  2.94707 -1.07028 L4v-sm resonant  
  39.555  0.210   13.077   31.248   33.877   38.085   23.468   8.13  0.00  4   32.884   23.730   8.39 0.77 15.28266 -18.5050  3.48327  0.75043 L4k-sm resonant  
  39.585  0.165    7.742   33.053   33.056  358.040   23.013   7.77  0.00  4   32.077   23.189   7.95 0.86 23.42422  -2.5873  3.35854 -1.33271 L3s-sm resonant  
  39.501  0.284   16.973   28.283   35.541  305.901   23.701   8.11 -0.70  4   34.590   24.298   8.71 0.43 12.97335  -7.2001  3.15114  1.10795 L3h-sm resonant  
  39.570  0.167   16.992   32.962   32.979  356.270   23.668   8.48  0.00  4   31.996   23.553   8.36 0.75  2.56729  13.5939  3.53270 -1.40799 L4v-sm resonant  
  39.437  0.255    6.381   29.381   33.232   40.390   22.499   7.24  0.00  4   32.238   22.707   7.45 0.71 16.42899 -19.5249  3.53843  0.62633 L5j-sm resonant  
  39.375  0.217    6.687   30.831   32.046   24.568   23.139   8.10  0.00  4   31.057   23.039   8.00 0.84  2.75463  16.2461  3.74513 -1.06319 L4v-sm resonant  
  39.576  0.136   15.056   34.194   39.471   81.125   24.136   8.11 -0.80  1   38.493   24.733   8.71 0.30 22.06473 -12.9656  2.92955 -0.93751 presur resonant  
  39.264  0.266   16.618   28.820   46.600  123.798   24.090   7.39  0.00  3   45.617   24.230   7.53 0.62  2.50467  15.4644  2.65603 -1.01428 L4v-sm resonant  
  39.610  0.193   13.182   31.965   40.993  270.466   24.265   8.11  0.00  2   40.023   24.377   8.22 0.39  4.85200  23.0111  3.14551 -0.25111 L3w-sm resonant  
  39.283  0.213   16.128   30.916   33.205   35.021   23.851   8.59  0.00  4   32.220   24.084   8.82 0.67 15.15499 -17.8720  3.52770  0.74699 L4k-sm resonant  
  39.379  0.217   22.288   30.834   31.900   22.887   23.818   8.77  0.00  3   30.922   23.726   8.68 0.67  5.07045  22.5211  3.98442 -0.03059 L3w-sm resonant  
  39.465  0.157    7.454   33.269   38.615   73.181   23.710   7.78  0.00  2   37.634   23.546   7.62 0.22 16.16007 -20.9290  3.04444  0.65264 L5j-sm resonant  
  39.532  0.221   29.143   30.795   33.745   39.011   23.529   8.23  0.00  4   32.747   24.129   8.83 0.74 13.78879 -10.1735  3.35147  1.69159 L4h-sm resonant  
  43.676  0.149    0.525   37.168   40.408   52.512   23.810   7.74  0.00  4   39.401   23.719   7.65 0.71 21.56861 -14.6551  2.91759 -0.98912 L4q-sm resonant  
  43.721  0.150    1.264   37.163   37.570  342.708   22.877   7.11  0.00  4   36.581   22.802   7.04 0.88 12.62166  -4.7973  3.04148  1.30443 L3f-sm resonant  
  43.558  0.044    5.484   41.641   41.802   22.544   23.960   7.71  0.00  4   40.807   23.828   7.58 0.64 15.32908 -19.6138  2.83518  0.82027 L4k-sm resonant  
  43.631  0.093    3.237   39.573   40.506   36.191   23.992   7.87  0.00  4   39.544   24.409   8.29 0.60  4.65537  22.8611  3.07148 -0.40197 L3w-sm resonant  
  43.733  0.135    0.178   37.829   38.207  342.040   23.877   8.00  0.00  2   37.223   24.198   8.32 0.31 19.36574 -22.2842  3.06559 -0.43374 L4m-sm resonant  
  52.992  0.254    2.300   39.532   41.077  339.055   24.041   7.87  0.00  3   40.083   24.213   8.04 0.61 15.32580 -18.6051  2.85568  0.73412 L4k-sm resonant  
  52.976  0.342   16.612   34.858   35.903  347.013   23.818   8.24  0.00  3   34.902   23.966   8.39 0.68 15.45642 -20.2414  3.20111  1.06414 L4k-sm resonant  
  53.130  0.379    3.030   32.994   34.271   12.891   23.661   8.31  0.00  4   33.288   23.526   8.18 0.71  9.29976  16.7065  3.43274  1.13002 L5c-sm resonant  
  53.126  0.202   25.164   42.395   43.101   16.809   24.080   7.68 -0.80  1   42.123   24.793   8.39 0.37 22.06578 -13.0235  2.72102 -0.76394 presur resonant  
  47.943  0.362    5.598   30.588   32.661  341.544   24.068   8.85  0.00  1   31.701   23.925   8.71 0.31 15.41851 -17.3125  3.37625  0.81278 L4j-sm resonant  
  47.656  0.392    4.553   28.975   29.086    3.785   23.501   8.81  0.00  4   28.104   23.404   8.71 0.76 15.09571 -17.9905  3.71906  1.16642 L4k-sm resonant  
  47.914  0.357    6.395   30.809   32.456   16.586   23.485   8.28  0.00  4   31.532   23.540   8.34 0.76  4.07199  22.2775  3.46751 -0.62053 L3w-sm resonant  
  47.666  0.319    3.604   32.461   32.537  356.133   23.512   8.33  0.00  4   31.560   24.052   8.87 0.59 16.29981 -22.4534  3.48844  0.52568 L5i-sm resonant  
  47.786  0.131    2.211   41.526   43.438   40.604   22.912   6.47 -0.70  4   42.479   23.696   7.25 0.82 13.14511  -5.5753  2.57014  1.01017 L3h-sm resonant  
  38.180  0.064   19.144   35.751   35.915   19.816   22.664   7.09  0.00  4   34.915   22.719   7.14 0.87 15.46616 -18.4164  3.28348  1.07074 L4k-sm h         
  37.813  0.063   25.086   35.435   38.438  258.178   23.995   8.13  0.00  2   37.432   23.879   8.01 0.09 19.71790 -23.0363  3.18125 -0.81272 L4o-sm h         
  38.117  0.075    1.555   35.262   35.371  345.064   24.144   8.59  0.00  2   34.397   23.991   8.44 0.21 20.62124 -19.6757  3.21259 -0.82793 L4p-sm h         
  38.699  0.028    4.534   37.611   37.916  316.987   23.108   7.29  0.00  4   36.937   23.133   7.32 0.84  2.39054  14.5702  3.16857 -1.02831 L4v-sm h         
  37.050  0.061    5.803   34.786   35.730  308.404   24.116   8.59  0.00  2   34.731   24.067   8.54 0.19 23.93939  -0.5026  3.24750 -1.32722 L3s-sm h         
  37.890  0.029    5.087   36.776   37.237  307.082   23.933   8.21  0.00  4   36.253   23.840   8.12 0.67  2.57168  14.0978  3.26593 -0.99767 L4v-sm h         
  37.184  0.007   19.141   36.938   37.293  243.192   23.623   7.86 -0.80  3   36.305   24.305   8.54 0.77 21.88671 -12.7067  3.16956 -0.90561 presur h         
  44.941  0.168    4.700   37.373   37.548  349.736   23.644   7.84  0.00  4   36.580   23.708   7.90 0.65 15.27066 -18.1984  3.01211  0.87242 L4j-sm h         
  40.996  0.110   45.532   36.478   37.189   29.237   22.878   7.12 -0.80  4   36.208   23.681   7.92 0.89 22.02192 -13.4662  3.02263 -1.66841 presur h         
  40.248  0.007   22.977   39.983   40.146  293.749   24.328   8.28  0.00  1   39.166   24.459   8.41 0.38  9.17416  17.2970  3.04307  1.17196 L5c-sm h         
  44.055  0.071    5.391   40.923   41.366   28.901   23.964   7.77  0.00  4   40.367   24.152   7.96 0.63 21.34639 -15.7311  2.82710 -0.96289 L4q-sm c         
  41.850  0.104   15.590   37.485   46.203  183.958   24.266   7.58  0.00  2   45.209   24.114   7.43 0.08 20.97401 -18.7775  2.58702 -0.86124 L4p-sm h         
  43.518  0.085    4.120   39.806   42.291  293.853   24.340   8.03  0.00  2   41.307   24.182   7.87 0.04 20.77026 -18.1741  2.75963 -0.79323 L4p-sm f         
  45.710  0.106    0.873   40.856   41.923   34.870   23.937   7.69  0.00  3   40.948   24.171   7.92 0.62  8.99451  17.0267  2.91334  0.86221 L5c-sm f         
  43.788  0.041    3.399   41.993   42.679   50.120   24.041   7.69 -0.80  3   41.694   25.013   8.66 0.41 21.94055 -12.6214  2.66995 -1.00511 presur f         
  45.943  0.021    0.119   44.955   46.711  219.735   24.425   7.70  0.00  2   45.713   24.293   7.57 0.31 15.43016 -18.8025  2.59980  0.66669 L4k-sm f         
  43.110  0.039    1.350   41.416   42.185   54.983   24.046   7.76  0.00  2   41.203   23.883   7.60 0.09 12.84814  -3.9644  2.73705  1.16836 L3f-sm f         
  44.915  0.015    0.577   44.224   44.923  270.394   24.347   7.77  0.00  2   43.967   24.165   7.59 0.28  4.55195  21.7104  2.77710 -0.41476 L3w-sm f         
