# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  42.506  0.020    2.253   41.643   41.644    6.098   23.594   7.36  0.00  4   40.653   23.494   7.26 0.70 21.93582 -14.3176  2.78013 -1.00319 L3q-sm f         
  44.178  0.011    2.912   43.679   44.056  285.001   24.081   7.59  0.00  4   43.102   23.921   7.43 0.55  4.52969  22.0434  2.81893 -0.45475 L3w-sm f         
  43.255  0.012    2.056   42.753   42.782  340.961   23.795   7.46  0.00  2   41.794   23.682   7.35 0.35 12.70597  -3.5758  2.73029  1.14990 L3f-sm f         
  44.935  0.015    0.554   44.274   45.309  236.459   23.576   6.96  0.00  4   44.333   23.483   6.87 0.73 13.36563  -8.4001  2.53083  1.01801 L4h-sm f         
  44.343  0.061    0.808   41.638   42.106   32.318   24.196   7.93  0.00  2   41.098   24.022   7.76 0.19 18.86446 -23.3164  2.92671 -0.25881 L4m-sm c         
  42.747  0.034    1.001   41.298   42.509  281.476   22.943   6.63  0.00  4   41.540   22.968   6.65 0.85  4.81125  22.4780  2.98436 -0.35726 L3w-sm f         
  44.352  0.072    0.610   41.145   41.296  343.687   24.239   8.00  0.00  4   40.367   24.065   7.83 0.41  4.15593  21.3468  2.86039 -0.53957 L3w-sm c         
  46.703  0.065    1.482   43.667   44.015  333.915   24.092   7.63  0.00  4   43.038   24.186   7.72 0.61  2.32636  14.8784  2.71545 -0.95960 L4v-sm f         
  45.474  0.021    1.968   44.528   44.808   44.618   23.580   7.02 -0.80  3   43.823   24.724   8.16 0.78 21.95333 -13.0278  2.55530 -0.95529 presur f         
  43.873  0.069    3.612   40.855   40.906   10.157   23.605   7.44 -0.80  4   39.917   24.725   8.56 0.77 21.89514 -13.7821  2.77733 -1.05278 presur f         
  42.517  0.044    4.627   40.646   42.132   75.749   23.714   7.44  0.00  2   41.132   23.959   7.68 0.29 19.58795 -23.6656  2.88471 -0.48834 L4o-sm f         
  46.820  0.133    3.880   40.588   42.196  323.031   24.103   7.77 -0.70  2   41.250   24.631   8.30 0.04 12.97346  -5.1469  2.56445  1.08828 L3h-sm f         
  43.595  0.045    2.537   41.611   42.603  302.279   24.006   7.69  0.00  2   41.619   24.081   7.76 0.12 12.79514  -3.7947  2.71116  1.18326 L3f-sm f         
  43.593  0.022    0.674   42.638   43.489  277.253   23.775   7.35  0.00  3   42.496   24.081   7.66 0.72 21.19337 -16.2014  2.71308 -0.83170 L4q-sm f         
  44.377  0.064    1.716   41.524   41.631   14.962   23.714   7.52  0.00  4   40.645   23.818   7.62 0.74  2.61290  16.4762  2.91675 -0.96761 L4v-sm c         
  43.467  0.032    0.913   42.097   44.745  201.233   23.459   6.90 -0.80  4   43.765   24.463   7.90 0.82 22.01864 -12.8398  2.55531 -0.95674 presur f         
  43.515  0.213   26.940   34.225   37.319  320.924   24.728   9.03  0.00  2   36.330   24.600   8.90 0.05  2.80648  16.1006  3.41582 -0.72144 L4v-sm h         
  43.951  0.032    4.494   42.527   44.218   99.153   24.128   7.63  0.00  2   43.225   23.995   7.50 0.24 20.91213 -17.2943  2.67333 -0.80697 L4p-sm c         
  44.528  0.091    4.467   40.485   40.538  351.602   23.709   7.60  0.00  4   39.537   24.435   8.33 0.71 15.45790 -19.5695  2.95678  0.70761 L4k-sm f         
  44.058  0.063    4.388   41.278   41.707   30.213   24.014   7.79  0.00  4   40.729   24.581   8.36 0.59  9.11810  18.0110  2.93308  0.92065 L5c-sm f         
  43.448  0.036    4.822   41.897   44.473  130.077   24.075   7.56  0.00  4   43.479   23.873   7.36 0.41 21.95169 -11.8104  2.62023 -1.00587 L3q-sm f         
  42.488  0.049    0.850   40.406   40.588   22.873   23.847   7.71  0.00  2   39.609   23.708   7.57 0.39 16.29639 -20.9712  2.92233  0.50751 L5i-sm f         
  45.517  0.109    1.975   40.560   42.935   53.334   23.980   7.62  0.00  4   41.941   23.771   7.41 0.50 21.95735 -12.7802  2.69708 -0.99861 L3q-sm f         
  43.188  0.035    4.805   41.655   41.674    9.259   22.879   6.62 -0.80  4   40.700   23.591   7.33 0.89 22.11877 -13.0189  2.67019 -1.07304 presur f         
  42.965  0.025    1.907   41.899   42.122  323.419   24.160   7.90  0.00  4   41.141   23.955   7.70 0.51  9.22142  17.6131  2.93239  0.89036 L5c-sm f         
  43.107  0.044    2.144   41.206   43.412  263.265   23.537   7.10 -0.70  3   42.450   24.641   8.20 0.59 13.15290  -6.6348  2.58338  1.06907 L3h-sm f         
  46.534  0.162    6.587   38.977   53.736  200.348   24.111   6.76  0.00  1   52.756   24.264   6.91 0.26 20.68792 -18.3202  2.23065 -0.63543 L4p-sm h         
  44.324  0.089    0.259   40.370   42.906   64.200   24.360   7.97  0.00  2   41.961   24.196   7.81 0.27  4.38662  21.8104  2.84624 -0.47340 L3w-sm f         
  43.810  0.035    1.338   42.259   42.497   31.282   23.400   7.06 -0.80  4   41.522   24.305   7.96 0.84 22.10271 -12.7416  2.64598 -0.99585 presur c         
  44.102  0.103    0.037   39.573   41.038   43.160   23.580   7.41  0.00  4   40.046   23.771   7.60 0.79 21.17485 -16.3100  2.84193 -0.87378 L4q-sm f         
  46.041  0.053    3.442   43.601   46.852  106.601   24.305   7.54 -0.80  1   45.876   25.026   8.26 0.12 22.10952 -13.7677  2.41605 -0.95923 presur f         
  44.960  0.053    4.409   42.595   43.426  312.669   23.709   7.30  0.00  4   42.455   24.047   7.64 0.61  8.74234  20.0929  2.85602  0.75697 L7a-sm f         
  44.145  0.137    8.220   38.106   38.801   24.072   21.842   5.93  0.00  4   37.805   21.910   6.00 0.90 13.76930  -9.7567  2.95578  1.21593 L4h-sm h         
  43.251  0.171   29.922   35.846   35.934  352.553   23.336   7.75  0.00  4   34.936   23.391   7.80 0.58 19.37763 -22.2155  3.33915 -0.85622 L4n-sm h         
  45.669  0.117    1.161   40.307   44.314  291.126   23.714   7.20  0.00  4   43.353   24.409   7.90 0.61  8.94140  18.5225  2.74796  0.80902 L7a-sm f         
  45.399  0.141    1.250   38.989   39.592   21.607   24.075   8.04  0.00  3   38.613   23.903   7.87 0.60 15.04674 -18.5215  2.89055  0.86121 L4k-sm f         
  43.803  0.037    0.816   42.187   44.746  235.913   24.112   7.55 -0.80  1   43.768   24.815   8.25 0.33 22.06344 -12.7660  2.54336 -0.95531 presur c         
  44.329  0.051    2.789   42.082   43.487   65.405   23.499   7.11  0.00  3   42.479   23.935   7.55 0.80 21.62076 -14.8263  2.74718 -0.90745 L4q-sm f         
  46.603  0.222    9.928   36.276   36.421  352.608   23.996   8.30  0.00  4   35.494   23.794   8.10 0.49  7.58331  21.7415  3.21748  0.39142 L3y-sm h         
  43.888  0.050    3.608   41.698   42.073   32.579   23.794   7.50 -0.80  3   41.089   24.922   8.63 0.66 21.96575 -13.3978  2.71773 -0.96881 presur c         
  43.581  0.072    0.727   40.460   44.162   96.693   23.851   7.32 -0.70  1   43.217   24.628   8.10 0.24 12.95498  -5.6394  2.49270  1.02609 L3h-sm f         
  44.944  0.058    1.051   42.351   44.180  290.349   24.638   8.14  0.00  1   43.218   24.735   8.24 0.03  4.65600  22.7055  2.84157 -0.40901 L3w-sm f         
  42.607  0.029    1.575   41.376   42.958  254.857   23.660   7.27 -0.80  4   41.984   24.362   7.97 0.75 22.11776 -13.1140  2.62400 -0.99969 presur f         
  43.977  0.059    0.634   41.396   42.104   41.239   24.267   8.00  0.00  2   41.130   24.244   7.98 0.08  8.62387  19.1398  2.95063  0.77757 L7a-sm c         
  43.877  0.211   24.132   34.632   35.958   24.869   22.974   7.37  0.00  4   34.974   23.064   7.46 0.76 22.61688   4.8822  3.12127 -1.56464 L5r-sm h         
  44.209  0.055    1.248   41.790   42.667  311.969   23.394   7.06  0.00  4   41.697   23.232   6.90 0.73  8.75724  19.1361  2.88684  0.80564 L7a-sm c         
  45.067  0.038    1.952   43.354   44.914   82.788   24.538   8.02  0.00  1   43.925   24.387   7.87 0.23  2.74938  15.8105  2.76054 -0.84686 L4v-sm f         
  44.243  0.191   15.945   35.775   36.981   25.309   23.532   7.78 -0.70  4   36.028   24.097   8.34 0.59 12.97206  -8.6927  2.83927  1.45336 L3h-sm h         
  44.236  0.058    2.194   41.679   43.232   63.759   24.274   7.89  0.00  4   42.258   24.777   8.39 0.42  8.98684  18.0522  2.85320  0.80459 L5c-sm f         
  42.624  0.034    3.762   41.179   43.914  207.208   23.980   7.53  0.00  4   42.915   23.808   7.36 0.50 22.09527 -12.1238  2.69312 -0.96459 L3q-sm f         
  45.156  0.059    0.890   42.470   47.459  212.648   23.289   6.53  0.00  4   46.471   23.441   6.68 0.82  2.73299  15.1397  2.62794 -0.81919 L4v-sm f         
#
# Total number of objects:       106074.
# Number of detections:          204
# Number of tracked objects:     112
