# Seed:  123456789
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int   H_int eff   RA(H)     DEC    delta_ra delt_dec Surv.  Comments
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
  39.593  0.262   18.148   29.220   31.721  329.147   23.942   8.87  0.00  3   30.743   23.928   8.86 0.46 15.15800 -16.2135  3.67590  0.76310 L4j-sm resonant  
  39.257  0.183    2.949   32.073   33.845   34.207   23.493   8.19  0.00  4   32.869   23.777   8.47 0.76  5.04675  22.5973  3.69934 -0.32108 L3w-sm resonant  
  39.587  0.202   24.152   31.590   32.659  335.844   23.475   8.32  0.00  4   31.683   23.643   8.49 0.77  5.02769  22.6499  3.91127 -0.03052 L3w-sm resonant  
  39.258  0.186   24.961   31.956   33.662  326.846   23.616   8.33  0.00  4   32.680   23.996   8.71 0.76  2.47867  15.0126  3.46581 -1.53012 L4v-sm resonant  
  39.321  0.208   20.353   31.142   31.999   21.136   23.875   8.82  0.00  2   31.008   23.587   8.53 0.25 12.59922  -3.6838  3.69775  1.23605 L3f-sm resonant  
  39.265  0.179   36.553   32.237   33.947   34.114   24.346   8.95 -0.70  3   33.000   24.152   8.76 0.49 12.95967  -6.3251  3.09029  1.81984 L3h-sm resonant  
  39.405  0.268   17.847   28.844   34.040  313.743   23.977   8.68  0.00  4   33.051   24.059   8.76 0.66  2.78977  16.1292  3.65670 -0.87961 L4v-sm resonant  
  39.483  0.153   13.651   33.442   34.272  334.069   23.490   8.10  0.00  4   33.307   23.607   8.22 0.76  4.74733  23.3910  3.58212 -0.67039 L3w-sm resonant  
  39.526  0.187   22.693   32.135   35.375  313.044   23.844   8.28  0.00  3   34.438   23.890   8.33 0.66  4.26909  21.3700  3.44834 -0.31801 L3w-sm resonant  
  39.274  0.294    6.619   27.727   30.580   30.058   23.070   8.14  0.00  4   29.617   22.921   7.99 0.70 16.53410 -21.6989  3.65486  0.66996 L5i-sm resonant  
  39.608  0.169   21.496   32.914   33.691   23.334   23.910   8.56 -0.70  4   32.735   24.012   8.66 0.75 13.10807  -5.1567  3.14126  1.57959 L3h-sm resonant  
  39.403  0.200    8.599   31.522   31.545    3.291   23.606   8.54  0.00  3   30.586   23.570   8.50 0.55 16.57474 -23.5151  3.52847  0.61555 L5i-sm resonant  
  39.555  0.172    1.656   32.752   33.203  342.471   22.505   7.29  0.00  4   32.206   22.503   7.29 0.87 23.85213   0.8575  3.38883 -1.47926 L3s-sm resonant  
  39.649  0.248   26.242   29.816   30.227  347.488   22.567   7.69  0.00  4   29.255   22.496   7.62 0.70 16.02601 -20.4239  3.86538  0.30916 L5j-sm resonant  
  39.375  0.217    6.687   30.831   32.046   24.567   23.129   8.09  0.00  4   31.057   23.039   8.00 0.84  2.75459  16.2458  3.74568 -1.06345 L4v-sm resonant  
  39.264  0.266   16.618   28.820   46.600  123.798   24.374   7.67  0.00  3   45.617   24.230   7.53 0.43  2.50465  15.4644  2.65631 -1.01430 L4v-sm resonant  
  39.283  0.213   16.128   30.916   33.205   35.021   24.006   8.74  0.00  4   32.221   24.084   8.82 0.62 15.15500 -17.8720  3.52819  0.74729 L4k-sm resonant  
  39.379  0.217   22.288   30.834   31.900   22.888   23.818   8.77  0.00  4   30.922   23.726   8.68 0.67  5.07049  22.5215  3.98497 -0.03086 L3w-sm resonant  
  39.494  0.156   26.467   33.333   43.450  123.093   24.355   7.90 -0.70  4   42.496   24.141   7.69 0.48 13.04778  -6.9015  2.71555  0.88956 L3h-sm resonant  
  43.676  0.149    0.525   37.168   40.408   52.512   23.404   7.33  0.00  4   39.401   23.719   7.65 0.82 21.56860 -14.6551  2.91798 -0.98924 L4q-sm resonant  
  43.721  0.150    1.264   37.163   37.570  342.709   22.871   7.11  0.00  4   36.580   22.802   7.04 0.88 12.62174  -4.7978  3.04191  1.30460 L3f-sm resonant  
  43.558  0.044    5.484   41.641   41.802   22.544   23.450   7.20  0.00  4   40.807   23.828   7.58 0.77 15.32908 -19.6139  2.83556  0.82034 L4k-sm resonant  
  43.631  0.093    3.237   39.573   40.506   36.192   23.834   7.71  0.00  4   39.544   24.409   8.29 0.67  4.65541  22.8612  3.07189 -0.40204 L3w-sm resonant  
  43.538  0.143    3.236   37.312   39.428   42.585   23.683   7.71  0.00  4   38.428   23.896   7.92 0.67 22.10181 -10.5686  2.92152 -1.13804 L3q-sm resonant  
