#   a      e        i        q        r        M      m_rand H_rand color Comments
#
  40.657  0.108   13.618   36.262   42.042  257.463   23.520   7.28  0.00 h         
  44.282  0.077    6.277   40.890   41.022  344.983   23.078   6.90  0.00 c         
  43.555  0.110    0.372   38.756   40.034   38.454   22.741   6.65  0.00 h         
  45.316  0.145    0.638   38.759   39.349  338.884   23.909   7.91  0.00 f         
  42.550  0.023    0.763   41.571   41.585  349.867   23.103   6.88  0.00 f         
  43.834  0.098    2.606   39.534   39.535  358.034   23.055   7.05  0.00 f         
  40.336  0.040   18.915   38.735   39.844   69.849   23.263   7.19  0.00 h         
  43.502  0.164   35.313   36.363   38.675   40.523   23.118   7.20  0.00 h         
  42.506  0.020    2.253   41.643   41.644    6.098   23.629   7.40  0.00 f         
  43.576  0.047    3.823   41.515   43.798   93.594   24.056   7.63  0.00 f         
  44.935  0.015    0.554   44.274   45.309  236.459   23.346   6.73  0.00 f         
  42.747  0.034    1.001   41.298   42.509  281.476   22.833   6.51  0.00 f         
  43.291  0.142   27.616   37.157   37.163  358.159   24.057   8.33  0.00 h         
  42.542  0.033    3.528   41.139   43.062  110.105   24.211   7.87  0.00 f         
  42.668  0.086    1.965   38.994   39.185  343.082   24.356   8.35 -0.70 h         
  44.328  0.058    1.437   41.743   46.477  144.554   23.848   7.19  0.00 c         
  43.822  0.059    1.084   41.219   45.126  242.817   23.851   7.27  0.00 f         
  42.982  0.055    0.286   40.601   44.721  134.786   23.693   7.15  0.00 f         
  43.548  0.022    3.866   42.590   44.285  220.606   24.370   7.84 -0.70 f         
  44.377  0.064    1.716   41.524   41.631   14.962   23.903   7.70  0.00 c         
  42.488  0.049    0.850   40.406   40.588   22.872   23.809   7.67  0.00 f         
  45.517  0.109    1.975   40.560   42.935   53.335   23.444   7.08  0.00 f         
  42.505  0.045    0.932   40.571   44.130  214.338   23.711   7.24  0.00 f         
  44.145  0.137    8.220   38.106   38.801   24.072   21.943   6.03  0.00 h         
  43.251  0.171   29.922   35.846   35.934  352.553   23.649   8.06  0.00 h         
  42.558  0.026    2.209   41.460   42.338   76.892   23.563   7.27  0.00 f         
  45.399  0.141    1.250   38.989   39.592   21.607   23.808   7.77  0.00 f         
  43.877  0.211   24.132   34.632   35.958   24.867   23.243   7.64  0.00 h         
  43.840  0.059    3.886   41.231   43.181   72.166   23.957   7.60  0.00 f         
  44.660  0.111    2.180   39.712   43.232  292.808   23.517   7.15  0.00 f         
  45.156  0.059    0.890   42.470   47.459  212.647   23.699   6.94  0.00 f         
