# Seed:  123456789
#
# Creation time: 2020-04-24T09:18:37.000  +0200
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
#
#   a      e        i        q        r        M       node     peri  m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    Surv. Comments
  39.555  0.210   13.077   31.248   33.877   38.085   50.789  124.930  23.47   8.13  0.00  4   32.884   23.730   8.39 0.77 15.28266 -18.5050 L4k-smooth resonant  
  39.585  0.165    7.742   33.053   33.056  358.040  343.938   10.329  23.01   7.77  0.00  4   32.077   23.189   7.95 0.86 23.42422  -2.5873 L3s-smooth resonant  
  39.501  0.284   16.973   28.283   35.541  305.901   13.932  268.561  23.65   8.06 -0.70  4   34.590   24.298   8.71 0.49 12.97335  -7.2001 L3h-smooth resonant  
  39.570  0.167   16.992   32.962   32.979  356.270  216.090  190.077  23.67   8.48  0.00  4   31.996   23.553   8.36 0.75  2.56729  13.5939 L4v-smooth resonant  
  39.437  0.255    6.381   29.381   33.232   40.390  229.476  314.304  22.50   7.24  0.00  4   32.238   22.707   7.45 0.71 16.42899 -19.5249 L5j-smooth resonant  
  39.375  0.217    6.687   30.831   32.046   24.568   41.813  324.057  23.21   8.17  0.00  4   31.057   23.039   8.00 0.83  2.75463  16.2461 L4v-smooth resonant  
  39.576  0.136   15.056   34.194   39.471   81.125  331.741  259.439  24.30   8.28 -0.80  1   38.493   24.733   8.71 0.12 22.06473 -12.9656 presurvey- resonant  
  39.264  0.266   16.618   28.820   46.600  123.798  222.376   33.167  24.09   7.39  0.00  3   45.617   24.230   7.53 0.62  2.50467  15.4644 L4v-smooth resonant  
  39.610  0.193   13.182   31.965   40.993  270.466   72.278  113.361  24.27   8.11  0.00  2   40.023   24.377   8.22 0.39  4.85200  23.0111 L3w-smooth resonant  
  39.283  0.213   16.128   30.916   33.205   35.021   49.622  128.056  23.85   8.59  0.00  4   32.220   24.084   8.82 0.67 15.15499 -17.8720 L4k-smooth resonant  
  39.379  0.217   22.288   30.834   31.900   22.887   78.044  323.625  23.74   8.70  0.00  3   30.922   23.726   8.68 0.70  5.07045  22.5211 L3w-smooth resonant  
  39.465  0.157    7.454   33.269   38.615   73.181  244.111  269.519  23.88   7.95  0.00  2   37.634   23.546   7.62 0.10 16.16007 -20.9290 L5j-smooth resonant  
  39.532  0.221   29.143   30.795   33.745   39.011  207.326  302.840  23.53   8.23  0.00  4   32.747   24.129   8.83 0.74 13.78879 -10.1735 L4h-smooth resonant  
  43.676  0.149    0.525   37.168   40.408   52.512  120.189  133.428  23.74   7.67  0.00  4   39.401   23.719   7.65 0.74 21.56861 -14.6551 L4q-smooth resonant  
  43.721  0.150    1.264   37.163   37.570  342.708  223.760  349.997  22.89   7.12  0.00  4   36.581   22.802   7.04 0.88 12.62166  -4.7973 L3f-smooth resonant  
  43.558  0.044    5.484   41.641   41.802   22.544  245.395  322.904  23.95   7.71  0.00  4   40.807   23.828   7.58 0.64 15.32908 -19.6138 L4k-smooth resonant  
  43.631  0.093    3.237   39.573   40.506   36.191   59.422  329.249  23.99   7.87  0.00  4   39.544   24.409   8.29 0.60  4.65537  22.8611 L3w-smooth resonant  
  43.733  0.135    0.178   37.829   38.207  342.040    6.738  305.400  23.88   8.00  0.00  2   37.223   24.198   8.32 0.31 19.36574 -22.2842 L4m-smooth resonant  
  52.992  0.254    2.300   39.532   41.077  339.055   46.495  221.623  24.04   7.87  0.00  3   40.083   24.213   8.04 0.61 15.32580 -18.6051 L4k-smooth resonant  
  52.976  0.342   16.612   34.858   35.903  347.013  239.299   22.962  23.82   8.24  0.00  3   34.902   23.966   8.39 0.68 15.45642 -20.2414 L4k-smooth resonant  
  53.130  0.379    3.030   32.994   34.271   12.891  119.481  347.274  23.72   8.37  0.00  4   33.288   23.526   8.18 0.69  9.29976  16.7065 L5c-smooth resonant  
  53.126  0.202   25.164   42.395   43.101   16.809  330.320  331.960  23.98   7.58 -0.80  3   42.123   24.793   8.39 0.49 22.06578 -13.0235 presurvey- resonant  
  47.943  0.362    5.598   30.588   32.661  341.544   66.101  207.046  24.10   8.88  0.00  1   31.701   23.925   8.71 0.28 15.41851 -17.3125 L4j-smooth resonant  
  47.656  0.392    4.553   28.975   29.086    3.785  235.984  344.147  23.50   8.80  0.00  4   28.104   23.404   8.71 0.76 15.09571 -17.9905 L4k-smooth resonant  
  47.914  0.357    6.395   30.809   32.456   16.586   51.169  336.744  23.48   8.28  0.00  4   31.532   23.540   8.34 0.76  4.07199  22.2775 L3w-smooth resonant  
  47.666  0.319    3.604   32.461   32.537  356.133   49.435  204.588  23.51   8.33  0.00  4   31.560   24.052   8.87 0.59 16.29981 -22.4534 L5i-smooth resonant  
  47.786  0.131    2.211   41.526   43.438   40.604   63.111   83.561  22.91   6.47 -0.70  4   42.479   23.696   7.25 0.82 13.14511  -5.5753 L3h-smooth resonant  
  38.180  0.064   19.144   35.751   35.915   19.816  233.310  338.792  22.66   7.09  0.00  4   34.915   22.719   7.14 0.87 15.46616 -18.4164 L4k-smooth h         
  37.813  0.063   25.086   35.435   38.438  258.178  110.310  292.616  23.93   8.06  0.00  2   37.432   23.879   8.01 0.13 19.71790 -23.0363 L4o-smooth h         
  38.117  0.075    1.555   35.262   35.371  345.064   83.769  240.705  24.19   8.63  0.00  2   34.397   23.991   8.44 0.16 20.62124 -19.6757 L4p-smooth h         
  38.699  0.028    4.534   37.611   37.916  316.987   34.836   49.003  23.11   7.29  0.00  4   36.937   23.133   7.32 0.84  2.39054  14.5702 L4v-smooth h         
