# Seed:  123456789
#
# Creation time: 2020-04-24T09:18:37.000  +0200
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
#
#   a      e        i        q        r        M       node     peri  m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    Surv. Comments
  44.343  0.061    0.808   41.638   42.106   32.318  311.477  293.924  24.30   8.04  0.00  2   41.098   24.022   7.76 0.16 18.86446 -23.3164 L4m-smooth c         
  42.747  0.034    1.001   41.298   42.509  281.476   70.981   85.176  22.94   6.63  0.00  4   41.540   22.968   6.65 0.85  4.81125  22.4780 L3w-smooth f         
  44.352  0.072    0.610   41.145   41.296  343.687   32.446   51.244  24.27   8.04  0.00  2   40.367   24.065   7.83 0.38  4.15593  21.3468 L3w-smooth c         
  46.703  0.065    1.482   43.667   44.015  333.915  254.024  173.347  24.09   7.63  0.00  4   43.038   24.186   7.72 0.61  2.32636  14.8784 L4v-smooth f         
  45.474  0.021    1.968   44.528   44.808   44.618  131.802  148.466  23.58   7.02 -0.80  3   43.823   24.724   8.16 0.78 21.95333 -13.0278 presurvey- f         
  43.873  0.069    3.612   40.855   40.906   10.157  130.928  182.948  23.61   7.44 -0.80  4   39.917   24.725   8.56 0.77 21.89514 -13.7821 presurvey- f         
  42.517  0.044    4.627   40.646   42.132   75.749   86.997  124.347  23.71   7.44  0.00  2   41.132   23.959   7.68 0.29 19.58795 -23.6656 L4o-smooth f         
  46.820  0.133    3.880   40.588   42.196  323.031  181.241   62.179  24.20   7.87 -0.70  2   41.250   24.631   8.30 0.02 12.97346  -5.1469 L3h-smooth f         
  43.595  0.045    2.537   41.611   42.603  302.279  164.218   90.311  24.01   7.69  0.00  2   41.619   24.081   7.76 0.12 12.79514  -3.7947 L3f-smooth f         
  43.593  0.022    0.674   42.638   43.489  277.253  315.255   85.691  23.77   7.35  0.00  3   42.496   24.081   7.66 0.72 21.19337 -16.2014 L4q-smooth f         
  44.377  0.064    1.716   41.524   41.631   14.962  260.738  124.331  23.71   7.52  0.00  4   40.645   23.818   7.62 0.74  2.61290  16.4762 L4v-smooth c         
  43.467  0.032    0.913   42.097   44.745  201.233  102.028   25.526  23.46   6.90 -0.80  4   43.765   24.463   7.90 0.82 22.01864 -12.8398 presurvey- f         
  43.515  0.213   26.940   34.225   37.319  320.924   44.789   57.892  24.77   9.07  0.00  2   36.330   24.600   8.90 0.04  2.80648  16.1006 L4v-smooth h         
  43.951  0.032    4.494   42.527   44.218   99.153  132.883   75.843  24.11   7.62  0.00  2   43.225   23.995   7.50 0.26 20.91213 -17.2943 L4p-smooth c         
  44.528  0.091    4.467   40.485   40.538  351.602   45.674  199.112  23.71   7.60  0.00  4   39.537   24.435   8.33 0.71 15.45790 -19.5695 L4k-smooth f         
  44.058  0.063    4.388   41.278   41.707   30.213  115.812  344.181  24.01   7.79  0.00  4   40.729   24.581   8.36 0.59  9.11810  18.0110 L5c-smooth f         
  43.448  0.036    4.822   41.897   44.473  130.077  154.943   39.438  24.17   7.65  0.00  2   43.479   23.873   7.36 0.30 21.95169 -11.8104 L3q-smooth f         
  42.488  0.049    0.850   40.406   40.588   22.873   92.144  128.564  23.82   7.68  0.00  4   39.609   23.708   7.57 0.42 16.29639 -20.9712 L5i-smooth f         
  45.517  0.109    1.975   40.560   42.935   53.334  138.718  124.412  23.88   7.52  0.00  4   41.941   23.771   7.41 0.57 21.95735 -12.7802 L3q-smooth f         
  42.965  0.025    1.907   41.899   42.122  323.419    4.022  169.827  23.87   7.61  0.00  4   41.141   23.955   7.70 0.65  9.22142  17.6131 L5c-smooth f         
  45.368  0.137    0.912   39.139   39.477   16.448  106.803  153.694  24.03   8.04  0.00  2   38.471   24.225   8.24 0.25 18.90293 -22.7807 L4m-smooth f         
  44.650  0.019    0.903   43.788   44.693   91.941  189.238  114.837  24.38   7.85  0.00  4   43.715   24.609   8.08 0.42  2.38688  13.7591 L4v-smooth f         
  42.582  0.096   23.522   38.511   46.401  157.951  109.135   22.898  23.88   7.19  0.00  1   45.397   23.961   7.27 0.16 19.68567 -23.2867 L4o-smooth h         
  43.810  0.035    1.338   42.259   42.497   31.282   15.596  279.592  23.78   7.44 -0.80  3   41.522   24.305   7.96 0.67 22.10271 -12.7416 presurvey- c         
  41.996  0.132   24.296   36.448   38.192  318.810  229.200   55.416  23.80   7.91  0.00  3   37.228   23.726   7.84 0.58 15.34783 -17.1501 L4j-smooth h         
  42.779  0.053    1.674   40.520   40.525  357.531  129.497   81.028  24.15   8.04  0.00  2   39.531   24.073   7.97 0.28 13.74579  -9.0327 L4h-smooth f         
  42.505  0.045    0.932   40.571   44.130  214.337   81.389  258.088  23.58   7.12  0.00  4   43.142   23.597   7.13 0.59 12.70857  -3.5967 L3f-smooth f         
  43.251  0.171   29.922   35.846   35.937  352.459  109.152  190.925  23.46   7.84  0.00  4   34.956   23.416   7.80 0.46 19.42126 -22.0590 L4m-smooth h         
  43.943  0.074    1.725   40.669   40.665    0.066   91.515  224.589  23.44   7.31  0.00  4   39.671   23.728   7.60 0.82 21.24968 -17.2571 L4q-smooth c         
  44.557  0.143    9.917   38.204   40.293  318.259  101.686   61.327  23.84   7.72  0.00  4   39.351   23.978   7.86 0.61  7.39430  23.3177 L3y-smooth h         
  44.329  0.051    2.789   42.082   43.487   65.405  333.947  277.073  23.95   7.57  0.00  3   42.479   23.935   7.55 0.64 21.62076 -14.8263 L4q-smooth f         
  46.603  0.222    9.928   36.276   36.421  352.608  291.970  191.328  23.77   8.07  0.00  4   35.494   23.794   8.10 0.65  7.58331  21.7415 L3y-smooth h         
  42.607  0.029    1.575   41.376   42.958  254.857   30.998   46.044  23.42   7.03 -0.80  4   41.984   24.362   7.97 0.83 22.11776 -13.1140 presurvey- f         
  44.470  0.099    0.558   40.058   43.339  290.387   52.676  162.447  23.98   7.59  0.00  4   42.360   24.705   8.32 0.60  9.12795  17.0865 L5c-smooth f         
  42.875  0.011    0.851   42.391   42.701  291.340  304.045   53.195  24.35   8.00  0.00  1   41.712   25.023   8.67 0.14 19.27977 -22.5186 L4m-smooth f         
  43.877  0.211   24.132   34.632   35.958   24.869  191.700  110.651  23.09   7.49  0.00  3   34.974   23.064   7.46 0.74 22.61688   4.8822 L5r-smooth h         
  44.209  0.055    1.248   41.790   42.667  311.969   71.409  109.909  23.40   7.06  0.00  4   41.697   23.232   6.90 0.73  8.75724  19.1361 L7a-smooth c         
  43.840  0.059    3.886   41.231   43.181   72.166  338.031  265.300  23.98   7.62  0.00  4   42.172   24.123   7.77 0.62 21.65199 -15.1907 L4q-smooth f         
  44.243  0.191   15.945   35.775   36.981   25.309  205.071  314.762  23.54   7.78 -0.70  3   36.028   24.097   8.34 0.58 12.97206  -8.6927 L3h-smooth h         
  42.624  0.034    3.762   41.179   43.930  205.823  335.071  148.774  22.90   6.42 -0.80  4   42.952   23.845   7.36 0.89 22.04922 -12.4672 presurvey- f         
  45.156  0.059    0.890   42.470   47.459  212.648   93.922  100.194  23.18   6.42  0.00  4   46.471   23.441   6.68 0.83  2.73299  15.1397 L4v-smooth f         
  43.846  0.030    1.754   42.513   43.025   50.549  264.835  113.454  24.68   8.30  0.00  2   42.064   24.581   8.20 0.02  4.64728  22.5439 L3w-smooth c         
# Total number of objects:        106074
# Number of detections:          199
# Number of tracked objects:     107
